"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Li3 Au3)
Reduced Formula: LiAu
abc   :   3.810487   4.056220   6.487481
angles:  90.002836 107.062182  89.999975
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Au    0.503978  0.105253  0.526582  [0.0002681858604773879, 0.0023119053803384304, -0.003991676494479179]
  1  Li    0.004082  0.605375  0.526253  [-8.41394648887217e-06, -0.0004308121569920331, 0.0021069871727377176]
  2  Li    0.17213   0.10546   0.863092  [0.0040609994903206825, -0.0004020014894194901, 0.0014440007507801056]
  3  Li    0.835689  0.10549   0.189636  [-0.0014858818612992764, -0.0009829706978052855, -0.000979587435722351]
  4  Au    0.339261  0.605337  0.197074  [0.0001371125690639019, 0.0002865488640964031, -0.010357897728681564]
  5  Au    0.669209  0.605446  0.85583   [-0.0029719979502260685, -0.000782670103944838, 0.011778182350099087]","LiAu","('Au', 'Li')","0.0","0","# generated using pymatgen
data_LiAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.81048671
_cell_length_b   4.05621951
_cell_length_c   6.48748107
_cell_angle_alpha   90.00283586
_cell_angle_beta   107.06218166
_cell_angle_gamma   89.99997504
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiAu
_chemical_formula_sum   'Li3 Au3'
_cell_volume   95.85834799
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Au  Au0  1  0.50397813  0.10525344  0.52658175  1
  Li  Li1  1  0.00408172  0.60537542  0.52625329  1
  Li  Li2  1  0.17213000  0.10546043  0.86309177  1
  Li  Li3  1  0.83568863  0.10549022  0.18963635  1
  Au  Au4  1  0.33926137  0.60533739  0.19707388  1
  Au  Au5  1  0.66920895  0.60544641  0.85582959  1
"
"Full Formula (Sc2 Ag1 Pt3)
Reduced Formula: Sc2AgPt3
abc   :   3.426836   3.426166   8.997609
angles:  89.998838  89.999825  90.000308
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Sc    0.893492  0.48926   0.344126  [-0.00019320659339427948, -0.0005950458580628037, -0.048180967569351196]
  1  Pt    0.393444  0.989079  0.166381  [0.00013708742335438728, 0.0006877433625049889, 0.001092817634344101]
  2  Sc    0.893429  0.489015  0.988719  [-0.00024159066379070282, 0.0009335788781754673, 0.04397440701723099]
  3  Ag    0.893481  0.489231  0.666336  [-0.0005499585531651974, -0.0005622961325570941, 0.0039843544363975525]
  4  Pt    0.393496  0.989294  0.49217   [-0.00020262585894670337, -0.0008777988841757178, -0.012199848890304565]
  5  Pt    0.393379  0.989093  0.840624  [0.0010502263903617859, 0.00041382486233487725, 0.011329427361488342]","Sc2AgPt3","('Ag', 'Pt', 'Sc')","0.0","0","# generated using pymatgen
data_Sc2AgPt3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.42683597
_cell_length_b   3.42616565
_cell_length_c   8.99760896
_cell_angle_alpha   89.99883847
_cell_angle_beta   89.99982543
_cell_angle_gamma   90.00030837
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sc2AgPt3
_chemical_formula_sum   'Sc2 Ag1 Pt3'
_cell_volume   105.64009594
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.89349206  0.48926042  0.34412600  1
  Pt  Pt1  1  0.39344423  0.98907851  0.16638057  1
  Sc  Sc2  1  0.89342921  0.48901503  0.98871899  1
  Ag  Ag3  1  0.89348056  0.48923124  0.66633619  1
  Pt  Pt4  1  0.39349591  0.98929396  0.49216958  1
  Pt  Pt5  1  0.39337932  0.98909265  0.84062351  1
"
"Full Formula (Li3 Fe2 Ir1 O8)
Reduced Formula: Li3Fe2IrO8
abc   :   5.167540   5.559777   6.046624
angles:  61.908396  86.215149  85.798468
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Fe    0.230697  0.396776  0.717169  [-0.011448901146650314, -0.025041401386260986, 0.02100466750562191]
  1  O     0.576057  0.807673  0.15624   [0.0014975666999816895, -0.04170849919319153, -0.0028695911169052124]
  2  Li    0.224167  0.655053  0.011501  [0.004298200365155935, -0.0031349179334938526, -0.00442413380369544]
  3  Li    0.673238  0.869948  0.66546   [0.03925616666674614, -0.012759903445839882, -0.016558028757572174]
  4  Fe    0.218036  0.913018  0.305656  [0.008658761158585548, 0.03315292298793793, -0.030930262058973312]
  5  O     0.862447  0.076412  0.331339  [0.020765095949172974, 0.010648243129253387, -0.0055304765701293945]
  6  Li    0.775667  0.43998   0.357417  [-0.04362322390079498, 0.014136657118797302, 0.011914446949958801]
  7  O     0.334765  0.761309  0.637646  [-0.00542294979095459, -0.022468239068984985, 0.022013962268829346]
  8  O     0.871978  0.502438  0.866088  [0.00593230128288269, 0.034125491976737976, 0.0032969415187835693]
  9  Ir    0.724255  0.154951  0.011138  [6.279256194829941e-05, -0.0008001001551747322, 0.0021043294109404087]
 10  O     0.114081  0.548691  0.384902  [0.00019863247871398926, 0.014633119106292725, -0.015079855918884277]
 11  O     0.586119  0.233246  0.690975  [-0.02333235740661621, -0.004128158092498779, 0.008668869733810425]
 12  O     0.066417  0.028064  0.932417  [0.04103986918926239, -0.012314260005950928, -0.001736283302307129]
 13  O     0.381736  0.281851  0.089582  [-0.0378822386264801, 0.015658527612686157, 0.008125543594360352]","Li3Fe2IrO8","('Fe', 'Ir', 'Li', 'O')","0.2145651279499379","0","# generated using pymatgen
data_Li3Fe2IrO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.16754015
_cell_length_b   5.55977651
_cell_length_c   6.04662405
_cell_angle_alpha   61.90839593
_cell_angle_beta   86.21514872
_cell_angle_gamma   85.79846804
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li3Fe2IrO8
_chemical_formula_sum   'Li3 Fe2 Ir1 O8'
_cell_volume   152.74666555
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.23069689  0.39677622  0.71716920  1
  O  O1  1  0.57605739  0.80767254  0.15623960  1
  Li  Li2  1  0.22416686  0.65505278  0.01150147  1
  Li  Li3  1  0.67323810  0.86994793  0.66546025  1
  Fe  Fe4  1  0.21803561  0.91301780  0.30565626  1
  O  O5  1  0.86244741  0.07641174  0.33133913  1
  Li  Li6  1  0.77566701  0.43998034  0.35741723  1
  O  O7  1  0.33476460  0.76130868  0.63764611  1
  O  O8  1  0.87197762  0.50243752  0.86608773  1
  Ir  Ir9  1  0.72425491  0.15495070  0.01113844  1
  O  O10  1  0.11408093  0.54869065  0.38490224  1
  O  O11  1  0.58611853  0.23324629  0.69097509  1
  O  O12  1  0.06641679  0.02806431  0.93241662  1
  O  O13  1  0.38173630  0.28185120  0.08958167  1
"
"Full Formula (Na3 Mn2 V1 Te6)
Reduced Formula: Na3Mn2VTe6
abc   :   7.038387   7.037254   7.545187
angles:  90.006714  89.973496 120.009355
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Te    0.771541  0.494474  0.473823  [-0.001707984134554863, 0.019291944801807404, -0.012282729148864746]
  1  Na    0.437144  0.160526  0.175035  [0.00038891524309292436, 0.0019259946420788765, 0.000910820672288537]
  2  Mn    0.770187  0.827306  0.675158  [0.0019450560212135315, 0.0019478447502478957, -0.006287776865065098]
  3  Na    0.104233  0.49419   0.174905  [-0.003081532195210457, -0.00011829286813735962, -0.003692382015287876]
  4  Mn    0.104156  0.493864  0.675119  [-0.006956903263926506, 0.0074623883701860905, 0.010107401758432388]
  5  Na    0.770541  0.827741  0.174926  [0.0018402368295937777, -0.0017472095787525177, 0.003499259240925312]
  6  Te    0.103435  0.827774  0.876137  [0.001699266955256462, -0.033470459282398224, 0.008947163820266724]
  7  Te    0.103983  0.161041  0.473735  [-0.0285768024623394, -0.0075493669137358665, -0.013233929872512817]
  8  Te    0.437429  0.493797  0.876641  [-0.023702844977378845, 0.027146706357598305, 0.001014411449432373]
  9  V     0.437102  0.160701  0.674435  [0.005641717463731766, 0.0022135842591524124, 0.010084107518196106]
 10  Te    0.436837  0.827042  0.473421  [0.02433714270591736, -0.01934904046356678, -0.0022325515747070312]
 11  Te    0.770238  0.16063   0.876398  [0.02817375771701336, 0.002245889976620674, 0.0031662285327911377]","Na3Mn2VTe6","('Mn', 'Na', 'Te', 'V')","0.02504725173473437","0","# generated using pymatgen
data_Na3Mn2VTe6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.03838677
_cell_length_b   7.03725435
_cell_length_c   7.54518724
_cell_angle_alpha   90.00671417
_cell_angle_beta   89.97349553
_cell_angle_gamma   120.00935461
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na3Mn2VTe6
_chemical_formula_sum   'Na3 Mn2 V1 Te6'
_cell_volume   323.62050691
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.77154053  0.49447385  0.47382284  1
  Na  Na1  1  0.43714436  0.16052625  0.17503458  1
  Mn  Mn2  1  0.77018688  0.82730646  0.67515820  1
  Na  Na3  1  0.10423331  0.49419049  0.17490478  1
  Mn  Mn4  1  0.10415616  0.49386377  0.67511896  1
  Na  Na5  1  0.77054057  0.82774150  0.17492643  1
  Te  Te6  1  0.10343488  0.82777359  0.87613688  1
  Te  Te7  1  0.10398299  0.16104123  0.47373547  1
  Te  Te8  1  0.43742898  0.49379695  0.87664126  1
  V  V9  1  0.43710183  0.16070141  0.67443464  1
  Te  Te10  1  0.43683748  0.82704153  0.47342059  1
  Te  Te11  1  0.77023784  0.16063044  0.87639776  1
"
"Full Formula (Li1 Sm1 In3 Sn3)
Reduced Formula: LiSm(InSn)3
abc   :   4.600775   4.626361   9.702745
angles:  89.996881  89.998468  89.998908
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  In    0.403962  0.287523  0.804622  [1.5665777027606964e-05, 0.00026153362705372274, -0.003198297694325447]
  1  In    0.404115  0.287397  0.31375   [-0.0006110747344791889, 0.00020762410713359714, 0.033892177045345306]
  2  Li    0.90387   0.787859  0.80499   [0.00039425824070349336, -0.0012243061792105436, -0.028483925387263298]
  3  Sm    0.904067  0.787421  0.305442  [-6.788120663259178e-05, -5.92038850300014e-05, 0.013246335089206696]
  4  Sn    0.403815  0.787415  0.568052  [0.0006728490116074681, 0.00036933645606040955, 0.012152954936027527]
  5  Sn    0.404099  0.787328  0.043379  [-0.00024612736888229847, 0.0009171674028038979, -0.014187593013048172]
  6  In    0.903923  0.287497  0.567278  [5.164839967619628e-05, -1.1904150596819818e-05, 0.003812183625996113]
  7  Sn    0.904102  0.28756   0.044014  [-0.00020933616906404495, -0.00046024430776014924, -0.017233826220035553]","LiSm(InSn)3","('In', 'Li', 'Sm', 'Sn')","0.0","0","# generated using pymatgen
data_LiSm(InSn)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.60077545
_cell_length_b   4.62636131
_cell_length_c   9.70274499
_cell_angle_alpha   89.99688140
_cell_angle_beta   89.99846793
_cell_angle_gamma   89.99890835
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiSm(InSn)3
_chemical_formula_sum   'Li1 Sm1 In3 Sn3'
_cell_volume   206.52146647
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.40396185  0.28752255  0.80462245  1
  In  In1  1  0.40411474  0.28739651  0.31374979  1
  Li  Li2  1  0.90386952  0.78785865  0.80498974  1
  Sm  Sm3  1  0.90406656  0.78742075  0.30544171  1
  Sn  Sn4  1  0.40381528  0.78741539  0.56805243  1
  Sn  Sn5  1  0.40409938  0.78732817  0.04337930  1
  In  In6  1  0.90392264  0.28749668  0.56727769  1
  Sn  Sn7  1  0.90410246  0.28755955  0.04401411  1
"
"Full Formula (Ba1 Ca1 I4)
Reduced Formula: BaCaI4
abc   :   4.842793   8.508945   8.992115
angles: 117.634675 105.603424  90.000432
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ca    0.75891   0.426533  0.80132   [0.000914993928745389, 0.00011585670290514827, 0.002051746938377619]
  1  I     0.879058  0.243093  0.041826  [-0.00447904784232378, -0.028004899621009827, -0.015406414866447449]
  2  Ba    0.258979  0.926571  0.801474  [0.000489627942442894, 0.0036949291825294495, 0.0006505842320621014]
  3  I     0.370947  0.679534  0.025342  [-0.006743869744241238, -0.0018667560070753098, -0.020610228180885315]
  4  I     0.147024  0.173552  0.577467  [0.006189022213220596, 0.0013081058859825134, 0.01998063176870346]
  5  I     0.638999  0.610363  0.561212  [0.0036292821168899536, 0.024752754718065262, 0.013333681970834732]","BaCaI4","('Ba', 'Ca', 'I')","0.0","0","# generated using pymatgen
data_BaCaI4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.84279306
_cell_length_b   8.50894467
_cell_length_c   8.99211477
_cell_angle_alpha   117.63467482
_cell_angle_beta   105.60342393
_cell_angle_gamma   90.00043165
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaCaI4
_chemical_formula_sum   'Ba1 Ca1 I4'
_cell_volume   312.77253059
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.75891008  0.42653344  0.80131960  1
  I  I1  1  0.87905750  0.24309258  0.04182628  1
  Ba  Ba2  1  0.25897853  0.92657114  0.80147352  1
  I  I3  1  0.37094665  0.67953442  0.02534181  1
  I  I4  1  0.14702438  0.17355189  0.57746730  1
  I  I5  1  0.63899868  0.61036264  0.56121175  1
"
"Full Formula (Tb3 Sm2 Y5 Ho2)
Reduced Formula: Tb3Sm2Y5Ho2
abc   :   5.643693   9.039859   9.046967
angles:  65.978926  71.561367  71.575124
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Tb    0.574323  0.966855  0.26448   [0.004176981747150421, 0.02400793693959713, -0.008320457302033901]
  1  Sm    0.448145  0.427696  0.055496  [-0.0026880651712417603, -0.017451127991080284, 0.008060438558459282]
  2  Ho    0.949202  0.92942   0.552125  [-0.002257963642477989, 0.009783735498785973, 0.0062202876433730125]
  3  Y     0.699223  0.176765  0.804632  [-0.0001416784944012761, 0.005508271977305412, 0.000498573761433363]
  4  Y     0.075286  0.134442  0.095518  [0.004742246121168137, 0.02334149368107319, -0.013439569622278214]
  5  Sm    0.574297  0.638674  0.592133  [0.000321319792419672, 0.0003197835758328438, -0.00034378236159682274]
  6  Tb    0.32516   0.221125  0.507627  [-0.004186953417956829, -0.0047784047201275826, 0.012938584201037884]
  7  Ho    0.199344  0.67946   0.301457  [-0.000703953206539154, -0.01196683943271637, 0.0015080105513334274]
  8  Y     0.073845  0.472333  0.75923   [-0.012253759428858757, -0.014642911031842232, 0.03362337872385979]
  9  Tb    0.821775  0.385006  0.350725  [0.00983692891895771, -0.01139109581708908, -0.032035261392593384]
 10  Y     0.325563  0.888259  0.840769  [-0.0014082863926887512, 0.005745949223637581, 0.008497888222336769]
 11  Y     0.822042  0.717934  0.017965  [0.0045631867833435535, -0.008476784452795982, -0.017208075150847435]","Tb3Sm2Y5Ho2","('Ho', 'Sm', 'Tb', 'Y')","0.0","0","# generated using pymatgen
data_Tb3Sm2Y5Ho2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.64369257
_cell_length_b   9.03985919
_cell_length_c   9.04696723
_cell_angle_alpha   65.97892639
_cell_angle_beta   71.56136684
_cell_angle_gamma   71.57512441
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb3Sm2Y5Ho2
_chemical_formula_sum   'Tb3 Sm2 Y5 Ho2'
_cell_volume   390.48783361
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.57432336  0.96685514  0.26448025  1
  Sm  Sm1  1  0.44814507  0.42769605  0.05549615  1
  Ho  Ho2  1  0.94920178  0.92942027  0.55212503  1
  Y  Y3  1  0.69922330  0.17676509  0.80463156  1
  Y  Y4  1  0.07528566  0.13444248  0.09551801  1
  Sm  Sm5  1  0.57429679  0.63867400  0.59213300  1
  Tb  Tb6  1  0.32515996  0.22112460  0.50762745  1
  Ho  Ho7  1  0.19934395  0.67946047  0.30145660  1
  Y  Y8  1  0.07384545  0.47233278  0.75922984  1
  Tb  Tb9  1  0.82177502  0.38500597  0.35072470  1
  Y  Y10  1  0.32556293  0.88825893  0.84076886  1
  Y  Y11  1  0.82204188  0.71793371  0.01796520  1
"
"Full Formula (Cs2 Sr2 Tl2 O6)
Reduced Formula: CsSrTlO3
abc   :   6.339484   6.339477   7.065587
angles: 116.645663  89.990373  90.023980
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Sr    0.690499  0.579407  0.153043  [0.0017903521656990051, -0.0040375832468271255, -0.009160179644823074]
  1  Cs    0.190505  0.379806  0.753917  [-0.0005702980561181903, -0.011333264410495758, -0.02154812216758728]
  2  O     0.690477  0.390402  0.775058  [-0.00017815083265304565, -0.005387209355831146, -0.011659406125545502]
  3  Cs    0.690544  0.880226  0.75465   [0.00047310441732406616, -0.014034528285264969, -0.027565710246562958]
  4  Sr    0.190469  0.079389  0.153091  [-0.0009073875844478607, -0.005038071423768997, -0.00923919677734375]
  5  O     0.940542  0.910189  0.314668  [-0.0016437119338661432, 0.008173719048500061, 0.0159258171916008]
  6  O     0.19064   0.89044   0.775262  [-0.0006806607125326991, -0.0059844255447387695, -0.012464284896850586]
  7  O     0.440551  0.909975  0.314266  [-0.0005276985466480255, 0.010593626648187637, 0.01628727838397026]
  8  Tl    0.690428  0.219662  0.433499  [0.003849111497402191, 0.008162712678313255, 0.018465235829353333]
  9  O     0.440315  0.410171  0.314523  [0.006814882159233093, 0.007940970361232758, 0.016538750380277634]
 10  Tl    0.190599  0.719722  0.433802  [-0.0042518144473433495, 0.006003808230161667, 0.00600462406873703]
 11  O     0.940574  0.410137  0.314315  [-0.004167735576629639, 0.004940062761306763, 0.018415499478578568]","CsSrTlO3","('Cs', 'O', 'Sr', 'Tl')","0.0","0","# generated using pymatgen
data_CsSrTlO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.33948404
_cell_length_b   6.33947688
_cell_length_c   7.06558679
_cell_angle_alpha   116.64566262
_cell_angle_beta   89.99037347
_cell_angle_gamma   90.02397960
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsSrTlO3
_chemical_formula_sum   'Cs2 Sr2 Tl2 O6'
_cell_volume   253.80167035
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.69049916  0.57940652  0.15304322  1
  Cs  Cs1  1  0.19050470  0.37980597  0.75391656  1
  O  O2  1  0.69047653  0.39040175  0.77505798  1
  Cs  Cs3  1  0.69054431  0.88022638  0.75465039  1
  Sr  Sr4  1  0.19046880  0.07938933  0.15309124  1
  O  O5  1  0.94054201  0.91018924  0.31466798  1
  O  O6  1  0.19063955  0.89043953  0.77526183  1
  O  O7  1  0.44055097  0.90997497  0.31426576  1
  Tl  Tl8  1  0.69042803  0.21966161  0.43349887  1
  O  O9  1  0.44031513  0.41017146  0.31452313  1
  Tl  Tl10  1  0.19059948  0.71972240  0.43380178  1
  O  O11  1  0.94057419  0.41013693  0.31431467  1
"
"Full Formula (Na1 Mg3 Pb4)
Reduced Formula: NaMg3Pb4
abc   :   4.895155   6.908494   7.999496
angles:  76.795339  72.171766  69.243144
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Pb    0.99573   0.5657    0.737087  [0.0035169553011655807, -0.048703547567129135, -0.008877791464328766]
  1  Na    0.611521  0.141114  0.930036  [0.0009958692826330662, -0.0008742788340896368, -0.00019176292698830366]
  2  Mg    0.281152  0.31239   0.41967   [0.010154650546610355, -0.021750837564468384, -0.0336727648973465]
  3  Mg    0.94242   0.969016  0.440703  [-0.009567636996507645, 0.021818408742547035, 0.03391490876674652]
  4  Mg    0.611888  0.640568  0.430257  [-0.0007326544728130102, 0.0008748022373765707, 0.0004339402075856924]
  5  Pb    0.327541  0.935628  0.703964  [-0.005102477967739105, 0.002375807613134384, 0.012300819158554077]
  6  Pb    0.896075  0.345852  0.156407  [0.003389492630958557, -0.0030700694769620895, -0.011938653886318207]
  7  Pb    0.227684  0.715781  0.123355  [-0.0026542004197835922, 0.04932970553636551, 0.00803133100271225]","NaMg3Pb4","('Mg', 'Na', 'Pb')","0.0","0","# generated using pymatgen
data_NaMg3Pb4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.89515482
_cell_length_b   6.90849379
_cell_length_c   7.99949618
_cell_angle_alpha   76.79533853
_cell_angle_beta   72.17176552
_cell_angle_gamma   69.24314418
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaMg3Pb4
_chemical_formula_sum   'Na1 Mg3 Pb4'
_cell_volume   238.62566894
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pb  Pb0  1  0.99572975  0.56570034  0.73708731  1
  Na  Na1  1  0.61152051  0.14111414  0.93003636  1
  Mg  Mg2  1  0.28115240  0.31239030  0.41967033  1
  Mg  Mg3  1  0.94242001  0.96901573  0.44070325  1
  Mg  Mg4  1  0.61188812  0.64056840  0.43025700  1
  Pb  Pb5  1  0.32754067  0.93562775  0.70396447  1
  Pb  Pb6  1  0.89607489  0.34585158  0.15640709  1
  Pb  Pb7  1  0.22768352  0.71578134  0.12335501  1
"
"Full Formula (Cs1 Pb1 Au2 Cl8)
Reduced Formula: CsPb(AuCl4)2
abc   :   7.502466   7.501044   8.287894
angles: 116.954935 116.884526  90.044477
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Cs    0.295031  0.014265  0.265839  [0.0003253370523452759, 0.0005668206140398979, -0.0005751019343733788]
  1  Cl    0.810731  0.223197  0.303845  [0.013525232672691345, -0.0015310049057006836, -0.007050514221191406]
  2  Au    0.545201  0.764202  0.766117  [1.7229467630386353e-08, 0.00017970707267522812, 4.020216874778271e-05]
  3  Pb    0.044893  0.263609  0.765655  [0.0008822646923363209, -0.0014930889010429382, 0.0010108009446412325]
  4  Cl    0.282543  0.943529  0.784186  [-0.0006995201110839844, 0.033581092953681946, -0.03349649906158447]
  5  Cl    0.086736  0.492636  0.228528  [-0.0017159581184387207, 0.010984241962432861, -0.0061674416065216064]
  6  Au    0.795459  0.514692  0.266435  [0.00017808075062930584, -0.00017500435933470726, -0.0013855721335858107]
  7  Cl    0.466346  0.498845  0.228608  [0.0016277432441711426, -0.011143848299980164, 0.006323665380477905]
  8  Cl    0.825651  0.602729  0.783869  [-0.006688058376312256, -0.04173910617828369, 0.021245207637548447]
  9  Cl    0.365891  0.483268  0.748275  [-0.03975652903318405, 0.01956304907798767, 0.018705114722251892]
 10  Cl    0.817928  0.844016  0.304408  [-0.013498812913894653, 0.0017153918743133545, 0.006728991866111755]
 11  Cl    0.706616  0.027303  0.748201  [0.045820195227861404, -0.010508298873901367, -0.0053789615631103516]","CsPb(AuCl4)2","('Au', 'Cl', 'Cs', 'Pb')","0.0","0","# generated using pymatgen
data_CsPb(AuCl4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.50246637
_cell_length_b   7.50104444
_cell_length_c   8.28789359
_cell_angle_alpha   116.95493457
_cell_angle_beta   116.88452568
_cell_angle_gamma   90.04447666
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsPb(AuCl4)2
_chemical_formula_sum   'Cs1 Pb1 Au2 Cl8'
_cell_volume   358.17622316
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.29503086  0.01426450  0.26583883  1
  Cl  Cl1  1  0.81073135  0.22319748  0.30384500  1
  Au  Au2  1  0.54520096  0.76420247  0.76611661  1
  Pb  Pb3  1  0.04489265  0.26360907  0.76565544  1
  Cl  Cl4  1  0.28254257  0.94352878  0.78418596  1
  Cl  Cl5  1  0.08673643  0.49263590  0.22852803  1
  Au  Au6  1  0.79545937  0.51469201  0.26643500  1
  Cl  Cl7  1  0.46634619  0.49884546  0.22860776  1
  Cl  Cl8  1  0.82565115  0.60272855  0.78386891  1
  Cl  Cl9  1  0.36589150  0.48326754  0.74827533  1
  Cl  Cl10  1  0.81792823  0.84401565  0.30440826  1
  Cl  Cl11  1  0.70661590  0.02730255  0.74820094  1
"
